Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,DrbSucc,Int,TklW
303,Riyad Mahrez,dz ALG,FW,Manchester City,30,1991,28,15,1498,16.6,11,5,16,7,4,5,0,0,10.1,6.2,4.2,10.4,74,70,234,0.66,0.3,0.96,0.42,0.72,0.61,0.25,0.86,0.37,0.62,26,6,3
304,Ainsley Maitland-Niles,eng ENG,MF,Arsenal,23,1997,8,2,268,3,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.3,2,15,8,0,0,0,0,0,0.02,0.09,0.12,0.02,0.12,4,4,4
305,Sadio Mané,sn SEN,FW,Liverpool,29,1992,34,32,2819,31.3,16,2,18,16,0,0,5,0,17.2,17.2,5.2,22.5,105,130,305,0.51,0.06,0.57,0.51,0.57,0.55,0.17,0.72,0.55,0.72,47,8,20
306,Javier Manquillo,es ESP,DF,Newcastle Utd,27,1994,19,15,1257,14,1,2,3,1,0,0,5,0,0.3,0.3,0.3,0.6,6,22,25,0.07,0.14,0.21,0.07,0.21,0.02,0.02,0.04,0.02,0.04,10,10,29
307,Fernando Marçal,br BRA,MFDF,Wolves,32,1989,18,17,1449,16.1,0,0,0,0,0,0,3,0,0.4,0.4,0.6,1,39,50,98,0,0,0,0,0,0.02,0.04,0.06,0.02,0.06,7,28,22
308,Solly March,eng ENG,DFFW,Brighton,27,1994,31,17,1746,19.4,0,2,2,0,0,0,1,0,1.2,1.2,2.3,3.5,71,69,148,0,0.1,0.1,0,0.1,0.06,0.12,0.18,0.06,0.18,23,17,17
309,Pablo Marí,es ESP,DF,Arsenal,27,1993,2,2,180,2,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,0,9,0,0,0,0,0,0,0.04,0.06,0.1,0.04,0.1,0,3,3
310,Anthony Martial,fr FRA,FW,Manchester Utd,25,1995,8,2,212,2.4,1,0,1,1,0,0,0,0,0.7,0.7,0,0.7,10,14,32,0.42,0,0.42,0.42,0.42,0.28,0,0.28,0.28,0.28,4,0,0
311,Martinelli,br BRA,FWMF,Arsenal,20,2001,29,21,1860,20.7,6,6,12,5,1,1,3,1,7.3,6.6,4.3,11,79,37,207,0.29,0.29,0.58,0.24,0.53,0.35,0.21,0.56,0.32,0.53,45,20,19
312,Emiliano Martínez,ar ARG,GK,Aston Villa,28,1992,36,36,3240,36,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
313,Adam Masina,ma MAR,DF,Watford,27,1994,15,13,1077,12,0,1,1,0,0,0,0,0,0.3,0.3,0.7,1,9,37,12,0,0.08,0.08,0,0.08,0.03,0.06,0.08,0.03,0.08,9,18,13
314,Arthur Masuaku,cd COD,DFFW,West Ham,27,1993,13,6,650,7.2,1,1,2,1,0,0,1,0,0.1,0.1,0.8,0.9,16,33,26,0.14,0.14,0.28,0.14,0.28,0.01,0.12,0.12,0.01,0.12,10,9,23
315,Juan Mata,es ESP,MF,Manchester Utd,33,1988,7,2,235,2.6,0,0,0,0,0,0,0,0,0.3,0.3,0.2,0.6,8,16,13,0,0,0,0,0,0.12,0.09,0.22,0.12,0.22,3,1,4
316,Jean-Philippe Mateta,fr FRA,FW,Crystal Palace,24,1997,22,13,1145,12.7,5,1,6,5,0,0,2,0,5.8,5.8,1.3,7.1,16,6,46,0.39,0.08,0.47,0.39,0.47,0.46,0.1,0.56,0.46,0.56,10,4,4
317,Nemanja Matić,rs SRB,MF,Manchester Utd,32,1988,23,16,1382,15.4,0,4,4,0,0,0,3,0,0.2,0.2,2,2.2,32,98,7,0,0.26,0.26,0,0.26,0.01,0.13,0.14,0.01,0.14,17,31,18
318,Joël Matip,cm CMR,DF,Liverpool,29,1991,31,31,2790,31,3,3,6,3,0,0,2,0,3.4,3.4,1.3,4.6,55,186,7,0.1,0.1,0.19,0.1,0.19,0.11,0.04,0.15,0.11,0.15,9,44,34
319,Neal Maupay,fr FRA,FW,Brighton,24,1996,32,25,2276,25.3,8,2,10,7,1,2,7,0,8.7,7.1,2.4,9.5,21,48,164,0.32,0.08,0.4,0.28,0.36,0.34,0.1,0.44,0.28,0.38,21,2,10
320,Bryan Mbeumo,cm CMR,FW,Brentford,21,1999,35,34,2905,32.3,4,7,11,3,1,1,4,0,9.3,8.5,3.7,12.2,81,56,273,0.12,0.22,0.34,0.09,0.31,0.29,0.11,0.4,0.26,0.38,39,11,16
321,James McArthur,sct SCO,MF,Crystal Palace,33,1987,21,15,1439,16,0,3,3,0,0,0,4,0,0.3,0.3,1.4,1.7,29,84,22,0,0.19,0.19,0,0.19,0.02,0.09,0.11,0.02,0.11,21,30,23
322,James Mcatee,eng ENG,MFFW,Manchester City,18,2002,2,0,20,0.2,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,2,1,3,0,0,0,0,0,0.37,0,0.37,0.37,0.37,1,0,0
323,Kasey McAteer,eng ENG,FW,Leicester City,19,2001,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
324,Liam McCarron,sct SCO,FW,Leeds United,20,2001,1,0,10,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
325,Alex McCarthy,eng ENG,GK,Southampton,31,1989,17,17,1530,17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
326,John McGinn,sct SCO,MF,Aston Villa,26,1994,35,35,3090,34.3,3,4,7,3,0,0,8,0,1.5,1.5,5.3,6.8,52,196,67,0.09,0.12,0.2,0.09,0.2,0.04,0.15,0.2,0.04,0.2,44,35,64
327,Stuart McKinstry,sct SCO,MF,Leeds United,18,2002,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
328,Kenny McLean,sct SCO,MF,Norwich City,29,1992,31,29,2706,30.1,1,0,1,1,0,0,3,0,1.8,1.8,0.8,2.6,32,99,61,0.03,0,0.03,0.03,0.03,0.06,0.03,0.09,0.06,0.09,19,34,22
329,Dwight McNeil,eng ENG,MF,Burnley,21,1999,38,35,3107,34.5,0,1,1,0,0,0,1,0,2.3,2.3,4.6,6.9,93,104,112,0,0.03,0.03,0,0.03,0.07,0.13,0.2,0.07,0.2,90,35,49
330,Scott McTominay,sct SCO,MF,Manchester Utd,24,1996,30,28,2387,26.5,1,1,2,1,0,0,9,0,1.4,1.4,1.5,2.9,40,125,37,0.04,0.04,0.08,0.04,0.08,0.05,0.06,0.11,0.05,0.11,36,31,33
331,Ben Mee,eng ENG,DF,Burnley,31,1989,21,21,1839,20.4,3,0,3,3,0,0,3,0,2.3,2.3,1,3.4,3,38,2,0.15,0,0.15,0.15,0.15,0.11,0.05,0.17,0.11,0.17,4,24,12
332,Hannibal Mejbri,tn TUN,FW,Manchester Utd,18,2003,2,1,68,0.8,0,0,0,0,0,0,2,0,0.1,0.1,0,0.1,0,0,4,0,0,0,0,0,0.09,0,0.09,0.09,0.09,1,0,1
333,Benjamin Mendy,fr FRA,DF,Manchester City,27,1994,1,1,78,0.9,0,0,0,0,0,0,0,0,0,0,0.1,0.1,4,9,4,0,0,0,0,0,0,0.16,0.16,0,0.16,2,0,2
334,Edouard Mendy,sn SEN,GK,Chelsea,29,1992,34,34,3060,34,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
335,Nampalys Mendy,sn SEN,MF,Leicester City,29,1992,14,12,1032,11.5,0,0,0,0,0,0,3,0,0,0,0,0,9,36,8,0,0,0,0,0,0,0,0,0,0,4,11,6
336,Illan Meslier,fr FRA,GK,Leeds United,21,2000,38,38,3384,37.6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1
337,Luka Milivojević,rs SRB,MF,Crystal Palace,30,1991,15,9,774,8.6,0,0,0,0,0,0,1,0,0.3,0.3,0.7,1,2,37,4,0,0,0,0,0,0.03,0.08,0.11,0.03,0.11,2,11,9
338,James Milner,eng ENG,MFDF,Liverpool,35,1986,24,9,853,9.5,0,1,1,0,0,0,2,0,0.4,0.4,2.2,2.5,9,73,38,0,0.11,0.11,0,0.11,0.04,0.23,0.26,0.04,0.26,2,17,16
339,Yerry Mina,co COL,DF,Everton,26,1994,13,11,846,9.4,0,0,0,0,0,0,3,0,0.3,0.3,0,0.3,1,20,2,0,0,0,0,0,0.03,0,0.03,0.03,0.03,0,11,10
340,Takumi Minamino,jp JPN,FWMF,Liverpool,26,1995,11,1,186,2.1,3,0,3,3,0,0,1,0,1.6,1.6,0.5,2.2,2,5,15,1.45,0,1.45,1.45,1.45,0.79,0.25,1.04,0.79,1.04,1,1,2
341,Tyrone Mings,eng ENG,DF,Aston Villa,28,1993,36,35,3189,35.4,1,3,4,1,0,0,11,0,1.6,1.6,1.6,3.3,23,91,17,0.03,0.08,0.11,0.03,0.11,0.05,0.05,0.09,0.05,0.09,11,46,12
342,Tyrick Mitchell,eng ENG,DF,Crystal Palace,21,1999,36,35,3101,34.5,0,2,2,0,0,0,1,0,0.2,0.2,1.7,1.9,41,134,116,0,0.06,0.06,0,0.06,0.01,0.05,0.05,0.01,0.05,16,41,57
343,Jakub Moder,pl POL,MF,Brighton,22,1999,28,19,1701,18.9,0,3,3,0,0,0,1,0,2.6,2.6,2.2,4.8,42,89,102,0,0.16,0.16,0,0.16,0.14,0.12,0.25,0.14,0.25,12,10,25
344,Wesley Moraes,br BRA,FW,Aston Villa,24,1996,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
345,Tyler Morton,eng ENG,MF,Liverpool,18,2002,2,1,66,0.7,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0
346,Mason Mount,eng ENG,MF,Chelsea,22,1999,32,27,2363,26.3,11,10,21,10,1,1,4,0,8,7.2,6.7,14,92,164,276,0.42,0.38,0.8,0.38,0.76,0.31,0.26,0.56,0.28,0.53,18,13,16
347,Lucas Moura,br BRA,FWMF,Tottenham,28,1992,34,19,1775,19.7,2,6,8,2,0,0,4,0,2.7,2.7,5,7.7,48,99,87,0.1,0.3,0.41,0.1,0.41,0.14,0.25,0.39,0.14,0.39,56,18,10
348,João Moutinho,pt POR,MF,Wolves,34,1986,35,34,2970,33,2,1,3,2,0,0,4,0,1.3,1.3,2.7,3.9,42,196,37,0.06,0.03,0.09,0.06,0.09,0.04,0.08,0.12,0.04,0.12,16,34,39
349,Bali Mumba,eng ENG,DF,Norwich City,19,2001,1,0,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
350,Jacob Murphy,eng ENG,FWDF,Newcastle Utd,26,1995,33,13,1473,16.4,1,2,3,1,0,0,4,0,2.2,2.2,2.6,4.8,51,44,80,0.06,0.12,0.18,0.06,0.18,0.13,0.16,0.29,0.13,0.29,13,23,26
351,Enock Mwepu,zm ZAM,MF,Brighton,23,1998,18,12,996,11.1,2,4,6,2,0,0,2,0,2.1,2.1,1.6,3.7,22,27,44,0.18,0.36,0.54,0.18,0.54,0.19,0.14,0.33,0.19,0.33,15,12,12
352,Vitaliy Mykolenko,ua UKR,DF,Everton,22,1999,13,12,1055,11.7,1,0,1,1,0,0,0,0,0.5,0.5,0.8,1.2,8,27,27,0.09,0,0.09,0.09,0.09,0.04,0.06,0.11,0.04,0.11,3,16,15
353,Marvelous Nakamba,zw ZIM,MF,Aston Villa,27,1994,16,10,904,10,0,0,0,0,0,0,5,0,0,0,0,0,5,24,0,0,0,0,0,0,0,0,0,0,0,14,12,19
354,Wilfred Ndidi,ng NGA,MFDF,Leicester City,24,1996,19,18,1618,18,0,0,0,0,0,0,4,0,0.7,0.7,0,0.8,14,57,13,0,0,0,0,0,0.04,0,0.04,0.04,0.04,11,42,32
355,Tanguy Ndombele,fr FRA,MF,Tottenham,24,1996,9,6,484,5.4,1,1,2,1,0,0,1,0,0.4,0.4,0.4,0.8,14,21,25,0.19,0.19,0.37,0.19,0.37,0.08,0.07,0.16,0.08,0.16,11,1,7
356,Reiss Nelson,eng ENG,FW,Arsenal,21,1999,1,0,20,0.2,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0,0,4,0,0,0,0,0,0.24,0.21,0.45,0.24,0.45,0,0,0
357,Pedro Neto,pt POR,FWMF,Wolves,21,2000,13,5,466,5.2,1,1,2,1,0,0,3,0,1.5,1.5,1,2.5,27,10,49,0.19,0.19,0.39,0.19,0.39,0.29,0.2,0.49,0.29,0.49,12,6,4
358,Rúben Neves,pt POR,MF,Wolves,24,1997,33,31,2661,29.6,4,2,6,4,0,0,9,0,1.1,1.1,3.1,4.3,34,202,19,0.14,0.07,0.2,0.14,0.2,0.04,0.11,0.14,0.04,0.14,26,41,37
359,Jeremy Ngakia,eng ENG,DF,Watford,20,2000,16,9,903,10,0,0,0,0,0,0,0,0,0.1,0.1,0.5,0.6,18,39,20,0,0,0,0,0,0.01,0.05,0.06,0.01,0.06,9,12,18
360,Saúl Ñíguez,es ESP,DFMF,Chelsea,26,1994,10,5,480,5.3,0,0,0,0,0,0,1,0,0.3,0.3,0.5,0.9,4,15,27,0,0,0,0,0,0.07,0.1,0.16,0.07,0.16,2,7,9
